kaisai_tsukihi,keibajo_code,race_bango,recommendation,top1_deviation,top5_predicted,top3_actual,hit_count,is_hit
1106,30,5,★★★★★,76.0,"8,1,4,2,10","4,2,8",3,○
1106,30,6,★★★★☆,68.8,"9,4,3,2,7","7,4,9",3,○
1106,30,7,★★★★★,74.0,"3,6,1,9,4","6,3,11",2,×
1106,30,8,★★★★☆,69.1,"10,2,3,1,4","6,10,3",2,×
1106,30,9,★★★★☆,66.1,"10,11,2,8,4","8,10,11",3,○
1106,30,11,★★★★★,70.2,"12,10,3,4,5","12,10,4",3,○
1106,30,12,★★★★☆,69.6,"10,4,11,12,6","10,6,4",3,○
1106,43,1,★★★★★,78.4,"5,4,7,9,3","5,11,9",2,×
1106,43,2,★★★★☆,68.7,"6,2,7,3,5","6,2,5",3,○
1106,43,4,★★★★★,78.0,"3,7,1,9,8","3,7,6",2,×
1106,43,6,★★★★☆,69.4,"10,5,7,3,8","5,7,10",3,○
1106,43,7,★★★★★,75.5,"9,11,2,7,12","2,9,11",3,○
1106,43,9,★★★★☆,68.7,"1,3,9,8,2","1,3,9",3,○
1106,43,10,★★★★☆,70.0,"4,5,9,8,13","9,5,4",3,○
1106,43,11,★★★★★,72.3,"8,4,6,7,3","4,8,7",3,○
1106,43,12,★★★★★,70.6,"1,12,11,7,2","4,2,11",2,×
1106,47,2,★★★★☆,69.6,"2,3,4,1,5","2,5,4",3,○
1106,47,3,★★★★★,76.5,"6,4,2,5,7","6,7,5",3,○
1106,47,4,★★★★☆,70.0,"9,5,1,4,7","5,9,1",3,○
1106,47,5,★★★★★,73.0,"3,8,2,7,6","2,7,1",2,×
1106,47,6,★★★★☆,68.3,"4,9,3,2,6","1,9,6",2,×
1106,47,7,★★★★★,71.3,"2,8,3,4,10","8,2,5",2,×
1106,47,8,★★★★★,70.2,"7,6,8,10,1","7,6,3",2,×
1106,47,9,★★★★★,74.9,"3,8,7,10,5","3,7,1",2,×
1106,47,10,★★★★☆,67.8,"6,7,4,3,2","4,7,6",3,○
1106,47,11,★★★★☆,68.2,"3,1,4,5,2","3,1,4",3,○
1106,47,12,★★★★★,70.6,"5,6,2,8,11","5,2,6",3,○
1106,50,1,★★★★☆,69.9,"2,9,10,5,3","10,9,2",3,○
1106,50,2,★★★★☆,69.8,"7,5,8,1,4","7,8,1",3,○
1106,50,3,★★★★★,70.9,"7,12,4,3,9","12,9,7",3,○
1106,50,4,★★★★☆,69.9,"1,6,4,5,9","1,6,5",3,○
1106,50,5,★★★★★,72.9,"2,5,6,7,1","2,5,9",2,×
1106,50,6,★★★★☆,68.5,"7,10,6,3,5","7,9,3",2,×
1106,50,7,★★★★☆,66.7,"1,2,6,10,3","10,2,5",2,×
1106,50,9,★★★★☆,66.8,"1,2,10,7,8","10,1,8",3,○
1106,50,11,★★★★☆,67.7,"8,2,4,11,10","7,4,11",2,×
1106,50,12,★★★★☆,65.1,"6,1,4,7,9","4,6,10",2,×
1107,43,1,★★★★☆,67.2,"9,12,7,11,2","11,7,9",3,○
1107,43,3,★★★★★,72.9,"4,2,7,6,3","4,1,2",2,×
1107,43,4,★★★★☆,67.4,"2,5,3,8,7","2,5,3",3,○
1107,43,5,★★★★☆,68.5,"1,7,6,8,5","7,1,3",2,×
1107,43,6,★★★★☆,66.3,"2,1,7,6,3","7,5,4",1,×
1107,43,7,★★★★★,75.5,"8,13,7,9,6","8,9,6",3,○
1107,43,10,★★★★★,71.2,"1,11,5,2,6","5,1,2",3,○
1107,43,11,★★★★☆,66.3,"4,5,7,9,1","5,4,7",3,○
1107,43,12,★★★★★,70.8,"13,6,2,8,4","4,13,3",2,×
1107,48,1,★★★★★,73.6,"1,5,8,4,7","8,5,1",3,○
1107,48,2,★★★★★,70.8,"9,5,6,11,4","11,1,9",2,×
1107,48,3,★★★★★,71.5,"2,6,8,1,5","8,2,6",3,○
1107,48,5,★★★★★,75.2,"6,3,10,11,5","7,3,6",2,×
1107,48,6,★★★★☆,67.5,"5,12,4,2,3","12,2,5",3,○
1107,48,8,★★★★★,70.6,"9,3,7,8,10","8,9,7",3,○
1107,48,9,★★★★★,74.9,"11,6,9,8,2","11,8,6",3,○
1107,48,10,★★★★★,75.4,"8,2,5,1,3","6,7,5",1,×
1107,48,12,★★★★★,76.4,"6,12,5,10,8","6,5,4",2,×
1107,55,1,★★★★★,78.9,"5,7,11,10,9","5,7,6",2,×
1107,55,2,★★★★★,70.8,"9,5,10,2,8","9,10,5",3,○
1107,55,3,★★★★★,71.7,"7,6,9,4,8","7,6,9",3,○
1107,55,4,★★★★★,73.6,"10,1,7,3,2","6,10,3",2,×
1107,55,5,★★★★☆,67.4,"2,4,11,9,10","12,2,4",2,×
1107,55,6,★★★★★,70.7,"8,4,2,3,6","4,5,2",2,×
1107,55,7,★★★★☆,66.2,"6,7,1,10,9","10,7,5",2,×
1107,55,8,★★★★★,74.8,"3,5,11,7,2","3,5,2",3,○
1107,55,9,★★★★☆,68.9,"1,5,6,3,4","1,6,5",3,○
1107,55,10,★★★★☆,66.4,"4,9,10,1,2","4,3,5",1,×
1107,55,11,★★★★☆,69.2,"9,1,2,5,7","9,2,1",3,○
1107,55,12,★★★★☆,65.3,"6,3,4,8,11","6,4,3",3,○
1108,54,1,★★★★★,72.6,"3,11,6,5,7","11,3,6",3,○
1108,54,2,★★★★☆,69.5,"9,10,7,1,3","10,9,5",2,×
1108,54,3,★★★★☆,66.8,"7,3,5,10,1","5,3,6",2,×
1108,54,4,★★★★★,74.1,"11,5,6,10,8","5,11,10",3,○
1108,54,5,★★★★☆,66.9,"2,7,5,3,1","5,2,3",3,○
1108,54,6,★★★★☆,67.3,"3,6,9,1,5","9,3,6",3,○
1108,54,7,★★★★★,71.0,"11,5,1,7,2","11,7,5",3,○
1108,54,8,★★★★★,70.3,"4,2,5,6,9","2,4,6",3,○
1108,54,9,★★★★★,74.2,"5,9,6,10,4","5,4,10",3,○
1108,54,10,★★★★☆,69.0,"1,4,7,5,6","1,9,8",1,×
1108,54,11,★★★★★,73.2,"6,10,5,8,12","5,4,8",2,×
1108,55,1,★★★★★,77.3,"1,5,6,4,8","1,4,5",3,○
1108,55,2,★★★★☆,67.0,"6,5,3,8,11","11,6,5",3,○
1108,55,3,★★★★★,70.9,"9,1,2,10,7","9,1,6",2,×
1108,55,4,★★★★★,74.3,"3,1,10,4,7","3,1,2",2,×
1108,55,5,★★★★☆,65.6,"6,3,11,9,1","7,3,11",2,×
1108,55,6,★★★★☆,67.7,"8,2,3,7,6","8,2,6",3,○
1108,55,7,★★★★★,79.2,"8,10,3,2,7","8,2,3",3,○
1108,55,8,★★★★★,73.6,"3,8,2,9,7","3,11,5",1,×
1108,55,9,★★★★★,70.9,"9,11,6,4,2","9,11,7",2,×
1108,55,10,★★★★★,71.7,"1,6,11,9,2","1,6,11",3,○
1108,55,11,★★★★★,71.8,"10,2,7,6,1","7,10,3",2,×
1109,46,1,★★★★★,74.5,"1,5,6,7,3","1,5,6",3,○
1109,46,4,★★★★★,73.0,"3,1,4,6,8","6,3,8",3,○
1109,46,5,★★★★★,74.3,"4,1,5,3,6","4,8,1",2,×
1109,46,6,★★★★☆,69.8,"1,5,2,4,6","5,1,2",3,○
1109,46,7,★★★★★,71.8,"3,4,1,9,6","3,5,1",2,×
1109,46,8,★★★★☆,68.6,"7,5,6,9,4","6,7,2",2,×
1109,46,11,★★★★☆,68.6,"10,3,4,9,1","2,5,10",1,×
1109,54,1,★★★★★,72.3,"5,10,2,6,3","10,5,7",2,×
1109,54,2,★★★★★,70.8,"5,2,6,7,3","2,6,4",2,×
1109,54,3,★★★★☆,69.2,"9,2,3,10,11","10,9,2",3,○
1109,54,5,★★★★☆,68.6,"6,2,1,7,4","1,7,3",2,×
1109,54,6,★★★★☆,65.2,"11,4,6,1,2","11,2,6",3,○
1109,54,8,★★★★★,74.5,"10,9,1,8,2","3,1,10",2,×
1109,54,10,★★★★☆,65.8,"8,5,4,7,6","8,6,4",3,○
1109,54,11,★★★★☆,67.5,"10,8,5,9,2","9,11,10",2,×
1109,55,1,★★★★☆,69.7,"11,7,3,1,2","7,11,1",3,○
1109,55,2,★★★★☆,66.0,"2,4,11,8,10","4,11,2",3,○
1109,55,3,★★★★★,74.4,"10,7,3,11,5","7,1,2",1,×
1109,55,4,★★★★☆,69.3,"2,9,11,5,6","2,9,5",3,○
1109,55,5,★★★★★,77.7,"3,6,10,2,8","3,9,8",2,×
