kaisai_tsukihi,keibajo_code,race_bango,top3_hit_count,top5_hit_count,top3_predicted,top3_actual,top5_predicted,top5_actual
1105,47,2,2,3,"1,4,10","4,1,8","1,4,10,6,3","4,1,8,2,3"
1105,47,3,1,3,"3,9,10","3,8,5","3,9,10,2,5","3,8,5,9,6"
1105,47,4,2,4,"12,10,8","12,3,10","12,10,8,3,6","12,3,10,2,6"
1105,47,5,2,3,"4,3,5","3,8,4","4,3,5,10,6","3,8,4,7,5"
1105,47,6,1,3,"7,1,9","1,4,3","7,1,9,2,4","1,4,3,2,10"
1105,47,7,2,3,"9,5,1","10,5,9","9,5,1,11,6","10,5,9,2,6"
1105,47,8,2,3,"7,1,9","8,7,1","7,1,9,3,8","8,7,1,4,6"
1105,47,9,2,3,"7,2,3","7,2,1","7,2,3,6,5","7,2,1,4,5"
1105,47,10,1,3,"3,2,7","7,1,8","3,2,7,4,1","7,1,8,6,3"
1105,47,11,2,3,"4,3,5","1,4,5","4,3,5,8,1","1,4,5,6,7"
1105,47,12,1,2,"4,1,8","7,3,4","4,1,8,5,9","7,3,4,9,2"
1105,50,1,2,2,"1,5,8","5,4,8","1,5,8,6,10","5,4,8,9,7"
1105,50,2,1,3,"7,5,2","7,9,6","7,5,2,10,4","7,9,6,10,4"
1105,50,3,3,5,"2,6,1","6,1,2","2,6,1,5,4","6,1,2,5,4"
1105,50,4,2,4,"9,5,7","10,9,7","9,5,7,2,10","10,9,7,6,2"
1105,50,5,2,3,"4,5,8","4,12,5","4,5,8,12,7","4,12,5,6,11"
1105,50,6,1,4,"7,5,9","7,12,10","7,5,9,12,10","7,12,10,4,9"
1105,50,7,1,2,"9,4,1","10,9,5","9,4,1,8,6","10,9,5,4,7"
1105,50,8,0,2,"2,1,8","6,7,9","2,1,8,10,5","6,7,9,8,1"
1105,50,9,2,4,"8,10,6","8,4,10","8,10,6,2,4","8,4,10,2,9"
1105,50,10,2,4,"6,2,7","8,7,6","6,2,7,8,11","8,7,6,3,2"
1105,50,11,2,4,"8,7,1","4,1,8","8,7,1,3,4","4,1,8,6,3"
1105,50,12,2,4,"9,11,5","5,11,12","9,11,5,8,12","5,11,12,1,9"
1106,30,1,2,4,"5,4,7","7,5,2","5,4,7,8,2","7,5,2,4,3"
1106,30,2,3,4,"10,3,5","10,5,3","10,3,5,11,2","10,5,3,2,9"
1106,30,3,2,3,"9,10,7","9,10,8","9,10,7,3,6","9,10,8,6,4"
1106,30,4,0,2,"7,4,6","10,3,9","7,4,6,5,3","10,3,9,6,8"
1106,30,5,2,4,"8,4,7","4,2,8","8,4,7,2,1","4,2,8,10,1"
1106,30,6,2,3,"4,9,1","7,4,9","4,9,1,10,3","7,4,9,5,3"
1106,30,7,2,4,"3,6,1","6,3,11","3,6,1,4,9","6,3,11,1,4"
1106,30,8,2,3,"2,3,6","6,10,3","2,3,6,10,1","6,10,3,9,5"
1106,30,9,1,3,"8,2,4","8,10,11","8,2,4,3,10","8,10,11,2,5"
1106,30,10,1,1,"6,10,12","10,5,2","6,10,12,1,8","10,5,2,11,7"
1106,30,11,2,4,"12,10,3","12,10,4","12,10,3,6,5","12,10,4,6,3"
1106,30,12,2,4,"10,4,1","10,6,4","10,4,1,11,12","10,6,4,1,12"
1106,43,1,2,2,"9,5,3","5,11,9","9,5,3,1,4","5,11,9,7,2"
1106,43,2,2,5,"6,2,7","6,2,5","6,2,7,3,5","6,2,5,3,7"
1106,43,3,2,4,"4,3,1","4,6,3","4,3,1,6,5","4,6,3,1,2"
1106,43,4,2,4,"3,9,7","3,7,6","3,9,7,1,8","3,7,6,1,8"
1106,43,5,3,5,"3,4,2","2,4,3","3,4,2,1,5","2,4,3,5,1"
1106,43,6,2,3,"10,5,3","5,7,10","10,5,3,7,1","5,7,10,8,6"
1106,43,7,2,4,"9,5,2","2,9,11","9,5,2,11,7","2,9,11,7,4"
1106,43,8,2,3,"9,3,4","5,9,3","9,3,4,5,6","5,9,3,7,2"
1106,43,9,3,3,"3,1,9","1,3,9","3,1,9,8,2","1,3,9,6,7"
1106,43,10,3,4,"4,9,5","9,5,4","4,9,5,6,3","9,5,4,6,2"
1106,43,11,2,3,"4,8,1","4,8,7","4,8,1,6,3","4,8,7,3,5"
1106,43,12,1,3,"1,11,12","4,2,11","1,11,12,7,2","4,2,11,7,10"
1106,47,1,3,4,"6,4,3","4,6,3","6,4,3,1,5","4,6,3,1,2"
1106,47,2,2,5,"2,4,3","2,5,4","2,4,3,1,5","2,5,4,3,1"
1106,47,3,1,1,"6,8,4","6,7,5","6,8,4,9,2","6,7,5,1,3"
1106,47,4,2,5,"9,5,4","5,9,1","9,5,4,1,7","5,9,1,7,4"
1106,47,5,2,3,"3,1,7","2,7,1","3,1,7,9,6","2,7,1,8,3"
1106,47,6,0,3,"5,4,3","1,9,6","5,4,3,9,2","1,9,6,2,4"
1106,47,7,2,3,"2,3,8","8,2,5","2,3,8,4,6","8,2,5,3,1"
1106,47,8,2,3,"10,6,7","7,6,3","10,6,7,8,4","7,6,3,10,1"
1106,47,9,1,3,"3,8,10","3,7,1","3,8,10,7,1","3,7,1,4,5"
1106,47,10,2,3,"6,4,1","4,7,6","6,4,1,5,2","4,7,6,2,3"
1106,47,11,2,4,"1,3,2","3,1,4","1,3,2,5,4","3,1,4,6,5"
1106,47,12,1,3,"6,4,1","5,2,6","6,4,1,5,9","5,2,6,10,1"
1106,50,1,2,3,"10,9,1","10,9,2","10,9,1,5,4","10,9,2,3,1"
1106,50,2,1,1,"7,6,10","7,8,1","7,6,10,5,4","7,8,1,2,3"
1106,50,3,2,4,"7,12,4","12,9,7","7,12,4,9,10","12,9,7,4,1"
1106,50,4,3,3,"5,1,6","1,6,5","5,1,6,3,4","1,6,5,9,7"
1106,50,5,1,3,"2,6,7","2,5,9","2,6,7,1,9","2,5,9,3,6"
1106,50,6,1,2,"3,8,6","7,9,3","3,8,6,4,10","7,9,3,6,5"
1106,50,7,0,2,"9,8,1","10,2,5","9,8,1,6,2","10,2,5,1,3"
1106,50,8,3,4,"1,4,6","4,6,1","1,4,6,5,3","4,6,1,2,5"
1106,50,9,2,2,"6,8,1","10,1,8","6,8,1,5,7","10,1,8,3,4"
1106,50,10,1,2,"1,6,8","8,4,9","1,6,8,2,4","8,4,9,5,7"
1106,50,11,1,3,"2,5,4","7,4,11","2,5,4,11,7","7,4,11,10,9"
1106,50,12,2,3,"6,4,1","4,6,10","6,4,1,9,7","4,6,10,1,3"
1107,43,1,2,3,"9,12,7","11,7,9","9,12,7,10,4","11,7,9,12,5"
1107,43,2,2,4,"2,11,12","7,11,2","2,11,12,4,7","7,11,2,12,1"
1107,43,3,2,3,"2,4,7","4,1,2","2,4,7,6,3","4,1,2,6,5"
1107,43,4,3,4,"5,2,3","2,5,3","5,2,3,8,7","2,5,3,6,8"
1107,43,5,2,3,"3,4,7","7,1,3","3,4,7,12,1","7,1,3,11,2"
1107,43,6,0,1,"9,6,2","7,5,4","9,6,2,1,7","7,5,4,3,11"
1107,43,7,1,5,"8,13,7","8,9,6","8,13,7,9,6","8,9,6,7,13"
1107,43,8,1,2,"10,7,8","5,3,7","10,7,8,2,1","5,3,7,8,6"
1107,43,9,2,3,"1,5,6","5,1,3","1,5,6,10,4","5,1,3,12,4"
1107,43,10,2,3,"2,1,11","5,1,2","2,1,11,6,3","5,1,2,11,4"
1107,43,11,1,3,"1,5,13","5,4,7","1,5,13,10,7","5,4,7,6,1"
1107,43,12,1,2,"13,6,8","4,13,3","13,6,8,12,11","4,13,3,2,8"
1107,48,1,3,4,"5,1,8","8,5,1","5,1,8,4,7","8,5,1,7,11"
1107,48,2,0,2,"4,8,3","11,1,9","4,8,3,9,2","11,1,9,3,5"
1107,48,3,2,2,"8,2,10","8,2,6","8,2,10,1,4","8,2,6,9,7"
1107,48,4,2,4,"9,2,10","9,10,5","9,2,10,5,8","9,10,5,2,1"
1107,48,5,2,3,"3,6,8","7,3,6","3,6,8,7,1","7,3,6,10,11"
1107,48,6,2,3,"12,4,5","12,2,5","12,4,5,11,10","12,2,5,8,4"
1107,48,7,1,4,"1,10,5","7,12,5","1,10,5,2,7","7,12,5,1,10"
1107,48,8,1,3,"8,11,3","8,9,7","8,11,3,9,2","8,9,7,3,10"
1107,48,9,1,3,"11,2,10","11,8,6","11,2,10,8,9","11,8,6,9,7"
1107,48,10,1,2,"8,5,2","6,7,5","8,5,2,4,3","6,7,5,1,8"
1107,48,11,1,3,"8,2,4","8,6,7","8,2,4,3,5","8,6,7,2,3"
1107,48,12,1,4,"10,6,12","6,5,4","10,6,12,11,5","6,5,4,11,12"
1107,55,1,1,3,"5,11,9","5,7,6","5,11,9,4,7","5,7,6,10,4"
1107,55,2,1,2,"10,2,4","9,10,5","10,2,4,3,7","9,10,5,6,2"
1107,55,3,3,4,"7,9,6","7,6,9","7,9,6,4,2","7,6,9,2,1"
1107,55,4,2,3,"10,6,8","6,10,3","10,6,8,3,4","6,10,3,1,2"
1107,55,5,1,2,"2,9,7","12,2,4","2,9,7,11,5","12,2,4,10,11"
1107,55,6,1,3,"3,4,8","4,5,2","3,4,8,5,1","4,5,2,8,6"
1107,55,7,1,4,"7,6,1","10,7,5","7,6,1,5,10","10,7,5,11,1"
1107,55,8,2,3,"3,2,8","3,5,2","3,2,8,1,9","3,5,2,6,8"
1107,55,9,1,2,"1,3,4","1,6,5","1,3,4,8,2","1,6,5,9,8"
1107,55,10,2,2,"9,4,3","4,3,5","9,4,3,2,1","4,3,5,10,6"
1107,55,11,3,4,"9,2,1","9,2,1","9,2,1,7,5","9,2,1,7,3"
1107,55,12,0,2,"8,11,7","6,4,3","8,11,7,12,9","6,4,3,12,8"
1108,54,1,2,3,"3,11,10","11,3,6","3,11,10,7,6","11,3,6,5,9"
1108,54,2,2,3,"9,10,1","10,9,5","9,10,1,3,7","10,9,5,7,6"
