date,race_id,pred_top3,pred_top5,actual_top3,actual_top5,pred_pwin_top5
20250104,2025_0104_50_07,6|7|5,6|7|5|3|2,7,7|6|5,0.208445|0.129881|0.123940|0.103196|0.092642
20250104,2025_0104_50_08,10|3|8,10|3|8|1|9,9|8,9|8|10|3,0.230150|0.115075|0.115075|0.098636|0.092060
20250104,2025_0104_50_09,9|5|3,9|5|3|7|8,5|9|3,5|9|3|8,0.220967|0.117849|0.114903|0.097226|0.092070
20250104,2025_0104_50_10,6|1|7,6|1|7|3|2,1|6,1|6|3,0.186733|0.163391|0.113664|0.108928|0.099591
20250104,2025_0104_50_11,10|2|9,10|2|9|11|12,12|2|10,12|2|10,0.241636|0.104921|0.084572|0.083062|0.083062
20250104,2025_0104_50_12,3|4|10,3|4|10|1|6,3|1,3|1|4,0.185431|0.115894|0.110375|0.105625|0.097202
20250104,2025_0104_55_01,11|3|8,11|3|8|1|10,8,8|11,0.435310|0.077388|0.072552|0.062187|0.056290
20250104,2025_0104_55_02,8|11|1,8|11|1|2|6,6,6|8|1,0.136805|0.098803|0.095897|0.094851|0.093984
20250104,2025_0104_55_03,4|6|11,4|6|11|10|7,11|4|6,11|4|6|10,0.170346|0.095820|0.092604|0.090183|0.088110
20250104,2025_0104_55_04,8|4|2,8|4|2|5|7,7|4,7|4|2,0.112601|0.104085|0.088472|0.088472|0.085618
20250104,2025_0104_55_05,11|1|7,11|1|7|2|5,5|11,5|11|2|7,0.125206|0.103111|0.099638|0.097836|0.092800
20250104,2025_0104_55_06,9|5|7,9|5|7|3|2,2,2|9|5,0.320465|0.106822|0.075403|0.073953|0.071214
20250104,2025_0104_55_07,10|6|7,10|6|7|8|11,6|7|8,6|7|8|10,0.158263|0.112223|0.107907|0.100713|0.088124
20250104,2025_0104_55_08,3|1|4,3|1|4|6|8,3|8|6,3|8|6|4,0.337286|0.112429|0.082601|0.078359|0.071545
20250104,2025_0104_55_09,4|5|1,4|5|1|3|2,4,4|1|3,0.275669|0.130282|0.128521|0.117415|0.104584
20250104,2025_0104_55_10,5|6|4,5|6|4|9|12,5,5|9,0.135627|0.109147|0.104055|0.094035|0.086801
20250104,2025_0104_55_11,4|1|7,4|1|7|5|3,4|1|7,4|1|7|3,0.188599|0.157166|0.104455|0.100586|0.100073
